ID Citizenship,Citizenship,ID Year,Year,Citizenship Status,Geography,ID Geography,Slug Geography,Citizenship %
0,"Citizen",2014,"2014",435256,"Richmond County, NY","05000US36085","richmond-county-ny",0.923087363898185
0,"Citizen",2014,"2014",6885813,"New York, NY","16000US3651000","new-york-ny",0.8241657070488908
0,"Citizen",2014,"2014",17192318,"New York-Newark-Jersey City, NY-NJ-PA","31000US35620","new-york-newark-jersey-city-ny-nj-pa",0.8654557792343285
0,"Citizen",2013,"2013",289401591,"United States","01000US","united-states",0.9289489471660591
0,"Citizen",2013,"2013",17443112,"New York","04000US36","new-york",0.8951128731471095
0,"Citizen",2013,"2013",1138054,"Bronx County, NY","05000US36005","bronx-county-ny",0.8144577278566394
0,"Citizen",2013,"2013",2113433,"Kings County, NY","05000US36047","kings-county-ny",0.8321293619273097
0,"Citizen",2013,"2013",1362874,"New York County, NY","05000US36061","new-york-county-ny",0.8489987989574352
0,"Citizen",2013,"2013",1760268,"Queens County, NY","05000US36081","queens-county-ny",0.7801223187378125
0,"Citizen",2013,"2013",433747,"Richmond County, NY","05000US36085","richmond-county-ny",0.9224282946601932
0,"Citizen",2013,"2013",6808376,"New York, NY","16000US3651000","new-york-ny",0.8233615701247515
0,"Citizen",2013,"2013",17059490,"New York-Newark-Jersey City, NY-NJ-PA","31000US35620","new-york-newark-jersey-city-ny-nj-pa",0.8652225909981701
